sample-id,cow,day,diet.in.period.1,diet,period,lactation.number,dim,extraction.batch,pcr.batch,dna.concentration.nanodrop,dna.concentration.naodrop.qubit,stolen.food,antibiotic.treatment,other,milk.per.milking1.kg,average.milk.per.milking.kg,daily.total.milk.yield.kg,butterfat.milking1.beforesample,butterfat.average.beforesample,protein.milking1.beforesample,protein.average.beforesample,lactose.milking1.beforesample,lactose.average.beforesample,SNF.milking1.beforesample,SNF.average.beforesample,SCCx1000.milking1.beforesample,SCCx1000.average.beforesample,MUN.milking1.beforesample,MUN.average.beforesample,butterfat.milking1.aftersample,butterfat.average.aftersample,protein.milking1.aftersample,protein.average.aftersample,lactose.milking1.aftersample,lactose.average.aftersample,SNF.milking1.aftersample,SNF.average.aftersample,SCCx1000.milking1.aftersample,SCCx1000.average.aftersaple,MUN.milking1.aftersample,MUN.average.aftersample,reads.per.sample.post.filtering,bin.reads.per.sample.post.filtering,low.DNA.yield.sample
4403-D3,4403,3,B,B,p_1,6,149,5,1,4.064,0.189,no,none,leftstudy.endofperiod2,16.69219,14.24279,42.72837,3.06,3.596666667,2.76,2.816666667,4.71,4.803333333,8.4,8.57,23,40.33333333,9,10.13333333,3.08,3.576666667,2.84,2.873333333,4.82,4.853333333,8.62,8.673333333,38,43.33333333,9.1,11.16666667,17485,10000,cow
4403-D4,4403,4,B,B,p_1,6,150,2,1,2.874,0.46,no,none,leftstudy.endofperiod2,16.7829,13.87991333,41.63975,3.06,3.596666667,2.76,2.816666667,4.71,4.803333333,8.4,8.57,23,40.33333333,9,10.13333333,3.08,3.576666667,2.84,2.873333333,4.82,4.853333333,8.62,8.673333333,38,43.33333333,9.1,11.16666667,17725,10000,cow
4403-D5,4403,5,B,A,p_2,6,219,21,3,3.336,0.306,no,none,leftstudy.endofperiod2,16.60147,13.65312,40.95936,3.43,3.606666667,3.03,3.06,4.94,4.986666667,8.9,8.983333333,38,48,7.6,9.366666667,2.87,3.68,2.92,2.976666667,4.83,4.896666667,8.7,8.843333333,33,60.33333333,10,9.9,37385,10000,cow
4403-D6,4403,6,B,A,p_2,6,220,28,4,3.327,0.334,no,none,leftstudy.endofperiod2,17.73545,10.19070233,30.5721,3.43,3.606666667,3.03,3.06,4.94,4.986666667,8.9,8.983333333,38,48,7.6,9.366666667,2.87,3.68,2.92,2.976666667,4.83,4.896666667,8.7,8.843333333,33,60.33333333,10,9.9,22110,10000,cow
4668-D1,4668,1,B,common,p_0,5,87,43,5,2.762,0.0648,no,none,na,25.35579,21.24322333,63.95647,4.33,4.473333333,2.69,2.726666667,4.7,4.77,8.19,8.34,38,38.33333333,8.7,10.9,2.96,4.096666667,2.55,2.506666667,4.64,4.716666667,8.09,8.103333333,326,374.3333333,10.2,12.56666667,121,100,cow
4668-D2,4668,2,B,common,p_0,5,88,38,5,1.414,0.556,no,none,na,27.89591,21.77241667,65.31725,4.33,4.473333333,2.69,2.726666667,4.7,4.77,8.19,8.34,38,38.33333333,8.7,10.9,2.96,4.096666667,2.55,2.506666667,4.64,4.716666667,8.09,8.103333333,326,374.3333333,10.2,12.56666667,293,100,cow
4668-D2-B,4668,2,B,common,p_0,5,88,47,6,2.179,,no,none,na,27.89591,21.77241667,65.31725,4.33,4.473333333,2.69,2.726666667,4.7,4.77,8.19,8.34,38,38.33333333,8.7,10.9,2.96,4.096666667,2.55,2.506666667,4.64,4.716666667,8.09,8.103333333,326,374.3333333,10.2,12.56666667,227,100,potential.blank
4668-D3,4668,3,B,B,p_1,5,126,4,1,3.877,0.142,no,none,na,22.18065,18.08320333,54.43104,3.36,3.903333333,2.83,2.843333333,4.76,4.79,8.5,8.526666667,36,42.33333333,8.7,10.4,4.41,4.236666667,2.75,2.71,4.9,4.886666667,8.58,8.5,43,48,11,12.23333333,1538,1000,cow
4668-D4,4668,4,B,B,p_1,5,127,5,1,2.876,0.29,no,none,na,23.04247,17.94712,53.97745,3.36,3.903333333,2.83,2.843333333,4.76,4.79,8.5,8.526666667,36,42.33333333,8.7,10.4,4.41,4.236666667,2.75,2.71,4.9,4.886666667,8.58,8.5,43,48,11,12.23333333,22396,10000,cow
4668-D5,4668,5,B,A,p_2,5,196,21,3,3.895,0.316,no,none,na,24.40325,19.32302,58.05978,3.57,3.736666667,3.13,3.15,4.83,4.903333333,8.88,8.956666667,53,57.33333333,6.5,7.466666667,3.71,3.7,3.05,3.12,4.93,4.953333333,8.87,8.966666667,50,56.66666667,7.2,8.333333333,10654,10000,cow
4668-D6,4668,6,B,A,p_2,5,197,16,2,4.159,0.42,no,none,na,22.95176,19.08110333,57.15259,3.57,3.736666667,3.13,3.15,4.83,4.903333333,8.88,8.956666667,53,57.33333333,6.5,7.466666667,3.71,3.7,3.05,3.12,4.93,4.953333333,8.87,8.966666667,50,56.66666667,7.2,8.333333333,72892,10000,cow
4889-D1,4889,1,B,common,p_0,4,106,34,4,2.897,2.66,no,none,na,21.27346,17.91688333,53.52386,3.22,3.643333333,2.97,2.996666667,5.06,5.056666667,8.92,8.953333333,234,229.3333333,9,10.5,2.98,3.836666667,2.9,2.92,5.19,5.11,8.97,8.92,103,121,9.3,11.6,29463,10000,cow
4889-D2,4889,2,B,common,p_0,4,107,39,5,3.854,3.854,no,none,na,21.50026,18.55197759,55.79182,3.22,3.643333333,2.97,2.996666667,5.06,5.056666667,8.92,8.953333333,234,229.3333333,9,10.5,2.98,3.836666667,2.9,2.92,5.19,5.11,8.97,8.92,103,121,9.3,11.6,1328,1000,cow
4889-D3,4889,3,B,B,p_1,4,145,7,1,3.745,0.712,no,none,na,18.77871,15.69428333,47.17357,3.91,3.84,3.01,2.986666667,4.99,5.013333333,8.94,8.933333333,79,76,8.7,9.266666667,3.41,3.7,3.04,2.986666667,5.09,5.046666667,9.09,8.98,66,60,10,10.43333333,7174,1000,cow
4889-D4,4889,4,B,B,p_1,4,146,5,1,3.388,0.972,no,none,na,15.0139,14.00087333,42.00262,3.91,3.84,3.01,2.986666667,4.99,5.013333333,8.94,8.933333333,79,76,8.7,9.266666667,3.41,3.7,3.04,2.986666667,5.09,5.046666667,9.09,8.98,66,60,10,10.43333333,2855,1000,cow
4889-D5,4889,5,B,A,p_2,4,215,12,2,5.407,2.66,no,none,na,15.19533,12.88201,38.64604,3.31,3.533333333,3.2,3.27,4.95,4.946666667,9.08,9.14,121,134,8.2,9.233333333,3.32,3.55,3.25,3.253333333,4.84,4.8,8.99,8.97,260,346,8.9,10.7,20499,10000,cow
4889-D6,4889,6,B,A,p_2,4,216,26,3,3.757,1.66,no,none,na,16.87362,12.473778,37.42134,3.31,3.533333333,3.2,3.27,4.95,4.946666667,9.08,9.14,121,134,8.2,9.233333333,3.32,3.55,3.25,3.253333333,4.84,4.8,8.99,8.97,260,346,8.9,10.7,32007,10000,cow
5002-D1,5002,1,B,common,p_0,4,138,31,4,6.993,6.04,no,none,na,20.41164,16.29907333,48.98794,3.42,3.64,2.75,2.833333333,4.88,4.876666667,8.55,8.65,1387,1392,10,10.7,3.77,3.803333333,2.96,2.816666667,4.88,4.873333333,8.86,8.713333333,750,4322.333333,10.5,11.8,219,100,cow
5002-D2,5002,2,B,common,p_0,4,139,37,5,7.919,2.93,no,none,na,21.09203,15.19533333,45.81279,3.42,3.64,2.75,2.833333333,4.88,4.876666667,8.55,8.65,1387,1392,10,10.7,3.77,3.803333333,2.96,2.816666667,4.88,4.873333333,8.86,8.713333333,750,4322.333333,10.5,11.8,798,100,cow
5002-D3,5002,3,B,B,p_1,4,177,5,1,10.024,10.024,no,none,na,16.60147,13.06345,39.19035,4.01,3.76,3.11,3.11,4.87,4.906666667,9.03,9.076666667,506,543,8.5,9.5,3.12,2.706666667,3.09,2.05,4.85,3.25,9.01,6.006666667,436,537.3333333,9.2,6.666666667,2125,1000,cow
5002-D4,5002,4,B,B,p_1,4,178,3,1,8.631,1.03,no,none,na,18.18904,13.66824,41.00472,4.01,3.76,3.11,3.11,4.87,4.906666667,9.03,9.076666667,506,543,8.5,9.5,3.12,2.706666667,3.09,2.05,4.85,3.25,9.01,6.006666667,436,537.3333333,9.2,6.666666667,2338,1000,cow
5002-D5,5002,5,B,A,p_2,4,247,21,3,6.659,2.7,no,none,na,12.83665,10.73500867,32.20503,2.9,3.71,3.53,3.55,4.87,4.886666667,9.41,9.443333333,103,126,8.9,9.1,2.61,3.72,3.51,3.533333333,4.87,4.826666667,9.47,9.443333333,87,94,10.1,10.63333333,36810,10000,cow
5002-D6,5002,6,B,A,p_2,4,248,14,2,4.806,3.52,no,none,na,15.42213,8.935762133,26.80729,2.9,3.71,3.53,3.55,4.87,4.886666667,9.41,9.443333333,103,126,8.9,9.1,2.61,3.72,3.51,3.533333333,4.87,4.826666667,9.47,9.443333333,87,94,10.1,10.63333333,1331,1000,cow
5007-D1,5007,1,A,common,p_0,4,143,43,5,3.322,1.58,no,none,na,17.14578,15.16509333,45.3592,3.64,4.04,3.24,3.346666667,4.97,5.033333333,9.14,9.346666667,19,23.33333333,9.5,10.63333333,3.67,3.703333333,3.24,3.213333333,5,4.843333333,9.18,8.983333333,16,1355.666667,12.8,12.13333333,1929,1000,cow
5007-D2,5007,2,A,common,p_0,4,144,10,2,2.864,0.246,no,none,na,17.41793,15.24069,45.81279,3.64,4.04,3.24,3.346666667,4.97,5.033333333,9.14,9.346666667,19,23.33333333,9.5,10.63333333,3.67,3.703333333,3.24,3.213333333,5,4.843333333,9.18,8.983333333,16,1355.666667,12.8,12.13333333,8389,1000,cow
5007-D3,5007,3,A,A,p_1,4,182,23,3,5.398,1.79,no,none,na,13.24489,12.76105667,38.28316,3.33,4.06,3.58,3.63,4.92,4.92,9.39,9.446666667,131,132.6666667,9.6,10.03333333,3.17,3.863333333,3.45,3.533333333,4.95,4.96,9.31,9.4,149,156.6666667,9.9,10.46666667,13835,10000,cow
5007-D4,5007,4,A,A,p_1,4,183,34,4,2.772,0.994,no,none,na,14.96854,13.38096333,40.14289,3.33,4.06,3.58,3.63,4.92,4.92,9.39,9.446666667,131,132.6666667,9.6,10.03333333,3.17,3.863333333,3.45,3.533333333,4.95,4.96,9.31,9.4,149,156.6666667,9.9,10.46666667,50704,10000,cow
5007-D5,5007,5,A,B,p_2,4,252,13,2,57.294,57.294,no,none,na,12.92737,11.41539933,34.2462,3.88,4.54,3.39,3.296666667,4.89,4.813333333,9.22,9.05,910,2052.666667,7,7.833333333,5.12,5.026666667,3.36,3.323333333,4.86,4.85,9.19,9.136666667,243,218.6666667,7.4,8.966666667,1231,1000,cow
5007-D6,5007,6,A,B,p_2,4,253,46,6,8.647,5.48,no,none,na,12.24698,9.918543333,29.75564,3.88,4.54,3.39,3.296666667,4.89,4.813333333,9.22,9.05,910,2052.666667,7,7.833333333,5.12,5.026666667,3.36,3.323333333,4.86,4.85,9.19,9.136666667,243,218.6666667,7.4,8.966666667,4356,1000,cow
5020-D1,5020,1,A,common,p_0,4,126,44,5,5.947,2.92,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,11.92947,10.220939,30.66282,3.37,3.536666667,2.89,2.963333333,4.9,4.983333333,8.66,8.853333333,446,484.6666667,6.9,7.833333333,4.18,4.223333333,3.07,3.086666667,4.79,4.803333333,8.8,8.813333333,665,808,5.8,7.6,220,100,cow
5020-D2,5020,2,A,common,p_0,4,127,10,2,4.681,1.77,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,11.97483,9.631270667,28.89381,3.37,3.536666667,2.89,2.963333333,4.9,4.983333333,8.66,8.853333333,446,484.6666667,6.9,7.833333333,4.18,4.223333333,3.07,3.086666667,4.79,4.803333333,8.8,8.813333333,665,808,5.8,7.6,5654,1000,cow
5020-D3,5020,3,A,A,p_1,4,165,4,1,4.323,1.86,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,7.076035,6.063013,18.18904,3.28,3.006666667,2.82,2.836666667,4.77,4.756666667,8.48,8.52,442,501.3333333,6.5,7.033333333,4.89,4.49,2.92,2.976666667,4.49,4.576666667,8.41,8.523333333,467,585.6666667,5.1,6.633333333,1032,1000,cow
5020-D4,5020,4,A,A,p_1,4,166,34,4,9.748,4.76,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,8.119297,6.773640667,20.32092,3.28,3.006666667,2.82,2.836666667,4.77,4.756666667,8.48,8.52,442,501.3333333,6.5,7.033333333,4.89,4.49,2.92,2.976666667,4.49,4.576666667,8.41,8.523333333,467,585.6666667,5.1,6.633333333,2079,1000,cow
5020-D5,5020,5,A,B,p_2,4,235,18,2,3.078,1.32,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,11.5666,10.05462333,30.16387,4.37,4.313333333,3.2,3.17,4.94,4.896666667,9.13,9.046666667,482,520.6666667,7.5,7.6,6.93,5.203333333,2.91,3.076666667,4.7,4.863333333,8.65,8.976666667,302,291.6666667,7.1,7.933333333,11736,10000,cow
5020-D6,5020,6,A,B,p_2,4,236,46,6,3.535,1.65,no,yes,hoof.infection.Treated.Nov18-Nov21.polyflex.Nov.18.flunixin,11.70267,9.691747667,29.07525,4.37,4.313333333,3.2,3.17,4.94,4.896666667,9.13,9.046666667,482,520.6666667,7.5,7.6,6.93,5.203333333,2.91,3.076666667,4.7,4.863333333,8.65,8.976666667,302,291.6666667,7.1,7.933333333,979,100,cow
5034-D1,5034,1,B,common,p_0,4,197,34,4,2.686,0.646,no,none,na,17.59937,14.62078333,43.86235,3.12,3.09,2.73,2.826666667,4.38,4.476666667,7.92,8.16,68,91.33333333,8.4,9.833333333,2.18,3.45,2.85,2.806666667,4.47,4.463333333,8.4,8.313333333,146,189,8.5,9.933333333,959,100,cow
5034-D2,5034,2,B,common,p_0,4,198,24,4,4.601,0.896,no,none,na,16.73754,13.21464667,39.64394,3.12,3.09,2.73,2.826666667,4.38,4.476666667,7.92,8.16,68,91.33333333,8.4,9.833333333,2.18,3.45,2.85,2.806666667,4.47,4.463333333,8.4,8.313333333,146,189,8.5,9.933333333,2815,1000,cow
5034-D3,5034,3,B,B,p_1,4,236,23,3,5.359,2.1,no,none,na,13.24489,11.65731667,34.97194,3.36,3.623333333,2.91,2.963333333,4.43,4.45,8.38,8.433333333,104,94.66666667,8.4,9.866666667,3.01,3.336666667,3.05,3.05,4.38,4.446666667,8.48,8.52,222,208.3333333,10.1,11.03333333,18371,10000,cow
5034-D4,5034,4,B,B,p_1,4,237,3,1,24.257,15.2,no,none,na,11.113,10.976924,32.93078,3.36,3.623333333,2.91,2.963333333,4.43,4.45,8.38,8.433333333,104,94.66666667,8.4,9.866666667,3.01,3.336666667,3.05,3.05,4.38,4.446666667,8.48,8.52,222,208.3333333,10.1,11.03333333,2635,1000,cow
5034-D5,5034,5,B,A,p_2,4,306,12,2,15.392,15.392,no,none,na,6.985317,6.274689333,18.82407,3.12,3.556666667,3.08,3.093333333,4.29,4.27,8.34,8.336666667,130,133.3333333,8,8.6,2.2,3.253333333,3,3.043333333,4.06,4.15,8.03,8.18,101,122.6666667,8.9,9.766666667,2553,1000,cow
5034-D6,5034,6,B,A,p_2,4,307,15,2,10.182,10.182,no,none,na,7.257472,6.380527333,19.14158,3.12,3.556666667,3.08,3.093333333,4.29,4.27,8.34,8.336666667,130,133.3333333,8,8.6,2.2,3.253333333,3,3.043333333,4.06,4.15,8.03,8.18,101,122.6666667,8.9,9.766666667,2629,1000,cow
5046-D1,5046,1,A,common,p_0,4,145,29,4,27.649,27.649,no,none,na,24.85684,18.74847,56.24541,2.93,3.53,2.87,2.973333333,4.82,4.846666667,8.55,8.72,276,218,8.7,9.466666667,3.03,4.046666667,2.92,3.01,4.84,4.83,8.67,8.79,573,1147,9,12.3,1154,1000,cow
5046-D2,5046,2,A,common,p_0,4,146,10,2,24.513,24.513,no,none,na,22.49816,17.82616667,53.52386,2.93,3.53,2.87,2.973333333,4.82,4.846666667,8.55,8.72,276,218,8.7,9.466666667,3.03,4.046666667,2.92,3.01,4.84,4.83,8.67,8.79,573,1147,9,12.3,37575,10000,cow
5046-D3,5046,3,A,A,p_1,4,184,6,1,19.451,19.451,no,none,na,21.77242,18.65775333,55.79182,3.2,3.783333333,3.04,3.133333333,4.81,4.833333333,8.73,8.863333333,332,336.3333333,7.5,8.233333333,3.34,3.483333333,3.06,3.106666667,4.75,4.796666667,8.71,8.823333333,820,637.3333333,7.5,8.133333333,14655,10000,cow
5046-D4,5046,4,A,A,p_1,4,185,5,1,14.766,2.95,no,none,na,21.18275,17.61449,53.07026,3.2,3.783333333,3.04,3.133333333,4.81,4.833333333,8.73,8.863333333,332,336.3333333,7.5,8.233333333,3.34,3.483333333,3.06,3.106666667,4.75,4.796666667,8.71,8.823333333,820,637.3333333,7.5,8.133333333,11854,10000,cow
5046-D5,5046,5,A,B,p_2,4,254,13,2,13.653,13.653,no,none,na,15.96644,13.51704333,40.55112,4.43,4.84,3.26,3.35,4.86,4.856666667,9.06,9.166666667,203,211.6666667,7.8,9.533333333,4.29,5.346666667,3.14,3.18,4.75,4.68,8.83,8.836666667,2644,2051.666667,7.2,9,28490,10000,cow
5046-D6,5046,6,A,B,p_2,4,255,45,6,14.273,14.273,no,none,na,17.87152,14.42422333,43.27268,4.43,4.84,3.26,3.35,4.86,4.856666667,9.06,9.166666667,203,211.6666667,7.8,9.533333333,4.29,5.346666667,3.14,3.18,4.75,4.68,8.83,8.836666667,2644,2051.666667,7.2,9,1587,1000,cow
5053-D1,5053,1,A,common,p_0,3,159,30,4,2.971,0.4,yes,none,na,23.85894,19.24748953,57.60618,3.37,3.4,2.53,2.61,4.57,4.67,7.94,8.16,145,158.6666667,7.8,9.566666667,3.66,3.29,2.58,2.583333333,4.46,4.556666667,8.08,8.156666667,202,216,8.5,10.03333333,636,100,cow
5053-D2,5053,2,A,common,p_0,3,160,37,5,2.526,0.198,yes,none,na,24.6754,19.29278,58.05978,3.37,3.4,2.53,2.61,4.57,4.67,7.94,8.16,145,158.6666667,7.8,9.566666667,3.66,3.29,2.58,2.583333333,4.46,4.556666667,8.08,8.156666667,202,216,8.5,10.03333333,319,100,cow
5053-D3,5053,3,A,A,p_1,3,198,6,1,3.511,0.91,yes,none,na,23.76822,19.21718,57.60618,2.91,2.85,2.7,2.803333333,4.42,4.553333333,8.13,8.393333333,136,194.3333333,5.9,6.133333333,2.79,2.926666667,2.79,2.863333333,4.47,4.506666667,8.28,8.42,146,179,6.8,7.966666667,4026,1000,cow
5053-D4,5053,4,A,A,p_1,3,199,40,5,3.874,1.12,yes,none,na,23.63214,19.24742,57.60618,2.91,2.85,2.7,2.803333333,4.42,4.553333333,8.13,8.393333333,136,194.3333333,5.9,6.133333333,2.79,2.926666667,2.79,2.863333333,4.47,4.506666667,8.28,8.42,146,179,6.8,7.966666667,1598,1000,cow
5053-D5,5053,5,A,B,p_2,3,268,16,2,5.186,1.44,yes,none,na,16.14788,13.77408,41.32223,3.05,3.303333333,2.91,2.83,4.44,4.533333333,8.33,8.34,133,504,5.7,6.4,3.14,3.506666667,2.89,2.906666667,4.28,4.33,8.24,8.296666667,145,231.6666667,6.2,8.6,22082,10000,cow
5053-D6,5053,6,A,B,p_2,3,269,46,6,3.927,0.832,yes,none,na,14.69638,13.84967667,41.54903,3.05,3.303333333,2.91,2.83,4.44,4.533333333,8.33,8.34,133,504,5.7,6.4,3.14,3.506666667,2.89,2.906666667,4.28,4.33,8.24,8.296666667,145,231.6666667,6.2,8.6,1856,1000,cow
5212-D1,5212,1,A,common,p_0,3,135,33,4,2.852,0.145,yes,yes,antibiotic.treatment.duringperiod0,23.35999,11.33980067,34.0194,3.07,3.316666667,2.44,2.506666667,4.93,4.983333333,8.19,8.346666667,5,10.33333333,9.3,10.43333333,3.78,3.516666667,2.61,2.76,4.6,4.686666667,8.18,8.396666667,2372,1991.666667,11.4,8.6,14835,10000,cow
5212-D2,5212,2,A,common,p_0,3,136,25,3,26.347,26.347,yes,yes,antibiotic.treatment.duringperiod0,15.14997,12.33770267,37.01311,3.07,3.316666667,2.44,2.506666667,4.93,4.983333333,8.19,8.346666667,5,10.33333333,9.3,10.43333333,3.78,3.516666667,2.61,2.76,4.6,4.686666667,8.18,8.396666667,2372,1991.666667,11.4,8.6,773,100,cow
5212-D3,5212,3,A,A,p_1,3,174,4,1,4.176,1.13,yes,yes,antibiotic.treatment.duringperiod0,20.77451,17.32721333,52.16308,3.16,3.176666667,2.6,2.693333333,4.64,4.776666667,8.13,8.41,275,318.6666667,6.9,7.733333333,3.64,3.186666667,2.59,2.67,4.74,4.846666667,8.22,8.423333333,217,261.3333333,7.9,8.366666667,6036,1000,cow
5212-D4,5212,4,A,A,p_1,3,175,36,4,3.925,0.904,yes,yes,antibiotic.treatment.duringperiod0,19.68589,16.72242667,50.34871,3.16,3.176666667,2.6,2.693333333,4.64,4.776666667,8.13,8.41,275,318.6666667,6.9,7.733333333,3.64,3.186666667,2.59,2.67,4.74,4.846666667,8.22,8.423333333,217,261.3333333,7.9,8.366666667,51981,10000,cow
5212-D5,5212,5,A,B,p_2,3,244,17,2,26.479,25.9,yes,yes,antibiotic.treatment.duringperiod0,13.51704,10.93156533,32.7947,3.36,3.733333333,2.58,2.786666667,4.54,4.506666667,8.09,8.263333333,2364,2353,4.8,6.966666667,3.15,3.51,2.6,2.686666667,4.63,4.713333333,8.18,8.38,256,272.6666667,7.3,9.533333333,8680,1000,cow
5212-D6,5212,6,A,B,p_2,3,245,27,3,7.479,3.94,yes,yes,antibiotic.treatment.duringperiod0,14.5603,10.76524867,32.29575,3.36,3.733333333,2.58,2.786666667,4.54,4.506666667,8.09,8.263333333,2364,2353,4.8,6.966666667,3.15,3.51,2.6,2.686666667,4.63,4.713333333,8.18,8.38,256,272.6666667,7.3,9.533333333,1691,1000,cow
5249-D1,5249,1,B,common,p_0,3,110,30,4,3.015,0.68,no,none,na,24.31253,18.41583333,55.33822,3.09,3.88,2.73,2.923333333,4.75,4.843333333,8.3,8.71,337,359,7.8,10.43333333,3.38,3.943333333,2.84,2.896666667,4.75,4.78,8.5,8.656666667,3381,2673,6.5,9.533333333,2380,1000,cow
5249-D2,5249,2,B,common,p_0,3,111,24,4,3.527,0.532,no,none,na,22.63424,17.73544667,53.07026,3.09,3.88,2.73,2.923333333,4.75,4.843333333,8.3,8.71,337,359,7.8,10.43333333,3.38,3.943333333,2.84,2.896666667,4.75,4.78,8.5,8.656666667,3381,2673,6.5,9.533333333,1340,1000,cow
5249-D3,5249,3,B,B,p_1,3,149,7,1,3.809,2.48,no,none,na,18.82407,15.84548333,47.62716,3.97,4.1,2.93,3.053333333,4.75,4.813333333,8.64,8.83,213,234.6666667,8.1,9.7,4.43,4.22,2.77,2.883333333,4.79,4.9,8.48,8.713333333,128,132.6666667,7.9,9.733333333,41076,10000,cow
5249-D4,5249,4,B,B,p_1,3,150,41,5,4.366,2,no,none,na,16.87362,14.43934667,43.31804,3.97,4.1,2.93,3.053333333,4.75,4.813333333,8.64,8.83,213,234.6666667,8.1,9.7,4.43,4.22,2.77,2.883333333,4.79,4.9,8.48,8.713333333,128,132.6666667,7.9,9.733333333,1828,1000,cow
